run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,workload,label_mode,sample_rate,data_seed,feature_groups,test_trace,loss,bin_lo,bin_hi,n,mean_p_hat,empirical_rate,gap
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,cost_l2,0.6,0.6667,9872,0.664,0.742,0.078
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,cost_l2,0.6667,0.7333,490,0.7176,1.0,0.2824
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,cost_l2,0.8,0.8667,165249,0.8419,0.8093,-0.0326
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,cost_l2,0.8667,0.9333,216218,0.8877,0.8215,-0.0662
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,cost_l2,0.9333,1.0,34103,1.0,0.8484,-0.1516
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.0,0.0667,607030,0.0074,0.0062,-0.0012
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.9333,1.0,340041,1.0,0.9999,-0.0001
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.0,0.0667,600071,0.0061,0.006,-0.0002
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.1333,0.2,6934,0.1476,0.0251,-0.1225
20260905-213216-m5p-train-toolagent-qwen-awq,2026-09-05T21:32:18.407097+08:00,toolagent,qwen-awq,nvme,68468,16,1869359,329888,947071,10583,63,0.363,20260905-143047-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.2,0.2667,9,0.2288,0.0,-0.2288
