ts,trace,gpu_budget_tokens,gpu_blocks,unique_blocks,accesses,requests,pressure_x,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,evict_free,evict_to_cpu,evict_to_ssd,evict_swap_cpu,evict_lost,evict_free_pct,best_baseline,oracle_headroom_pct,verdict,model_profile,lookup,prefetch,cpu_budget_gib,device,cost_model
2026-08-31T15:48:38.347660+08:00,conversation,752,47,182790,288500,12031,3889.149,cpu_arc,921055.28,12030,55258,0,221212,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:38.347680+08:00,conversation,752,47,182790,288500,12031,3889.149,tier_fs,924711.96,10493,56795,38422,182790,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:38.347697+08:00,conversation,752,47,182790,288500,12031,3889.149,oracle,771040.72,16416,89294,0,182790,182743,89294,0,0,0,67.176,cpu_arc,16.287,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:40.575819+08:00,conversation,376,23,182790,288500,12031,7947.391,full_gpu,1154626.86,7999,0,0,280501,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:40.576037+08:00,conversation,376,23,182790,288500,12031,7947.391,cpu_lru,921409.27,7999,59215,0,221286,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:40.576063+08:00,conversation,376,23,182790,288500,12031,7947.391,cpu_arc,921352.79,12030,55184,0,221286,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:40.576082+08:00,conversation,376,23,182790,288500,12031,7947.391,tier_fs,924967.71,7999,59215,38496,182790,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:40.576098+08:00,conversation,376,23,182790,288500,12031,7947.391,oracle,771354.11,14328,91382,0,182790,182767,91382,0,0,0,66.667,cpu_arc,16.28,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:42.777187+08:00,conversation,188,11,182790,288500,12031,16617.273,full_gpu,1165584.46,5265,0,0,283235,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:42.777287+08:00,conversation,188,11,182790,288500,12031,16617.273,cpu_lru,921637.53,5265,61905,0,221330,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:42.777312+08:00,conversation,188,11,182790,288500,12031,16617.273,cpu_arc,921532.46,12027,55143,0,221330,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
